"transaction_id","date","product","category","quantity","price_per_unit","revenue","weekday_num","weekday_name","day_type","month_num","year","week"
18,2024-03-02,"Круассан","Выпечка",1,120,120,7,"сб","weekend",3,2024,9
18,2024-03-02,"Сырник","Выпечка",3,200,600,7,"сб","weekend",3,2024,9
18,2024-03-02,"Печенье","Выпечка",2,80,160,7,"сб","weekend",3,2024,9
18,2024-03-02,"Капучино","Кофе",2,220,440,7,"сб","weekend",3,2024,9
19,2024-01-19,"Американо","Кофе",3,180,540,6,"пт","weekday",1,2024,3
19,2024-01-19,"Маффин","Выпечка",2,150,300,6,"пт","weekday",1,2024,3
20,2024-03-06,"Преступление и наказание","Книги",1,500,500,4,"ср","weekday",3,2024,10
21,2024-01-02,"Война и мир","Книги",1,450,450,3,"вт","weekday",1,2024,1
21,2024-01-02,"Сырник","Выпечка",2,200,400,3,"вт","weekday",1,2024,1
21,2024-01-02,"Капучино","Кофе",1,220,220,3,"вт","weekday",1,2024,1
21,2024-01-02,"Преступление и наказание","Книги",3,500,1500,3,"вт","weekday",1,2024,1
22,2024-02-25,"Печенье","Выпечка",3,80,240,1,"вс","weekend",2,2024,8
22,2024-02-25,"Сырник","Выпечка",1,200,200,1,"вс","weekend",2,2024,8
22,2024-02-25,"Война и мир","Книги",2,450,900,1,"вс","weekend",2,2024,8
23,2024-01-21,"Эспрессо","Кофе",1,150,150,1,"вс","weekend",1,2024,3
24,2024-03-14,"Маффин","Выпечка",2,150,300,5,"чт","weekday",3,2024,11
24,2024-03-14,"Сырник","Выпечка",1,200,200,5,"чт","weekday",3,2024,11
24,2024-03-14,"Сырник","Выпечка",1,200,200,5,"чт","weekday",3,2024,11
25,2024-02-09,"Печенье","Выпечка",2,80,160,6,"пт","weekday",2,2024,6
25,2024-02-09,"Американо","Кофе",1,180,180,6,"пт","weekday",2,2024,6
26,2024-03-09,"Сырник","Выпечка",2,200,400,7,"сб","weekend",3,2024,10
26,2024-03-09,"Мастер и Маргарита","Книги",1,600,600,7,"сб","weekend",3,2024,10
26,2024-03-09,"Сырник","Выпечка",3,200,600,7,"сб","weekend",3,2024,10
27,2024-03-04,"Американо","Кофе",2,180,360,2,"пн","weekday",3,2024,10
27,2024-03-04,"Печенье","Выпечка",3,80,240,2,"пн","weekday",3,2024,10
28,2024-01-24,"Печенье","Выпечка",1,80,80,4,"ср","weekday",1,2024,4
28,2024-01-24,"Маффин","Выпечка",1,150,150,4,"ср","weekday",1,2024,4
28,2024-01-24,"Мастер и Маргарита","Книги",2,600,1200,4,"ср","weekday",1,2024,4
28,2024-01-24,"Печенье","Выпечка",3,80,240,4,"ср","weekday",1,2024,4
29,2024-02-29,"Американо","Кофе",2,180,360,5,"чт","weekday",2,2024,9
29,2024-02-29,"Печенье","Выпечка",2,80,160,5,"чт","weekday",2,2024,9
29,2024-02-29,"Маффин","Выпечка",1,150,150,5,"чт","weekday",2,2024,9
30,2024-01-10,"Сырник","Выпечка",1,200,200,4,"ср","weekday",1,2024,2
30,2024-01-10,"Маффин","Выпечка",1,150,150,4,"ср","weekday",1,2024,2
31,2024-03-16,"Маффин","Выпечка",1,150,150,7,"сб","weekend",3,2024,11
31,2024-03-16,"Маффин","Выпечка",1,150,150,7,"сб","weekend",3,2024,11
32,2024-02-20,"Сырник","Выпечка",1,200,200,3,"вт","weekday",2,2024,8
32,2024-02-20,"Маффин","Выпечка",3,150,450,3,"вт","weekday",2,2024,8
32,2024-02-20,"Сырник","Выпечка",1,200,200,3,"вт","weekday",2,2024,8
33,2024-01-25,"Маффин","Выпечка",2,150,300,5,"чт","weekday",1,2024,4
33,2024-01-25,"Эспрессо","Кофе",1,150,150,5,"чт","weekday",1,2024,4
34,2024-01-07,"Раф","Кофе",3,280,840,1,"вс","weekend",1,2024,1
34,2024-01-07,"Сырник","Выпечка",1,200,200,1,"вс","weekend",1,2024,1
35,2024-01-30,"Сырник","Выпечка",2,200,400,3,"вт","weekday",1,2024,5
35,2024-01-30,"Капучино","Кофе",1,220,220,3,"вт","weekday",1,2024,5
35,2024-01-30,"Маффин","Выпечка",1,150,150,3,"вт","weekday",1,2024,5
36,2024-03-24,"Мастер и Маргарита","Книги",3,600,1800,1,"вс","weekend",3,2024,12
36,2024-03-24,"Эспрессо","Кофе",1,150,150,1,"вс","weekend",3,2024,12
36,2024-03-24,"Латте","Кофе",2,250,500,1,"вс","weekend",3,2024,12
36,2024-03-24,"Преступление и наказание","Книги",2,500,1000,1,"вс","weekend",3,2024,12
37,2024-02-17,"Печенье","Выпечка",2,80,160,7,"сб","weekend",2,2024,7
37,2024-02-17,"Латте","Кофе",1,250,250,7,"сб","weekend",2,2024,7
37,2024-02-17,"Эспрессо","Кофе",3,150,450,7,"сб","weekend",2,2024,7
38,2024-01-07,"Печенье","Выпечка",2,80,160,1,"вс","weekend",1,2024,1
38,2024-01-07,"Сырник","Выпечка",3,200,600,1,"вс","weekend",1,2024,1
39,2024-03-11,"Раф","Кофе",2,280,560,2,"пн","weekday",3,2024,11
39,2024-03-11,"Печенье","Выпечка",3,80,240,2,"пн","weekday",3,2024,11
39,2024-03-11,"Американо","Кофе",3,180,540,2,"пн","weekday",3,2024,11
39,2024-03-11,"Печенье","Выпечка",1,80,80,2,"пн","weekday",3,2024,11
39,2024-03-11,"Печенье","Выпечка",3,80,240,2,"пн","weekday",3,2024,11
40,2024-03-20,"Американо","Кофе",1,180,180,4,"ср","weekday",3,2024,12
40,2024-03-20,"Американо","Кофе",3,180,540,4,"ср","weekday",3,2024,12
41,2024-02-01,"Круассан","Выпечка",1,120,120,5,"чт","weekday",2,2024,5
41,2024-02-01,"Печенье","Выпечка",3,80,240,5,"чт","weekday",2,2024,5
41,2024-02-01,"Капучино","Кофе",2,220,440,5,"чт","weekday",2,2024,5
41,2024-02-01,"Печенье","Выпечка",3,80,240,5,"чт","weekday",2,2024,5
41,2024-02-01,"Раф","Кофе",2,280,560,5,"чт","weekday",2,2024,5
42,2024-02-02,"Мастер и Маргарита","Книги",1,600,600,6,"пт","weekday",2,2024,5
42,2024-02-02,"Круассан","Выпечка",2,120,240,6,"пт","weekday",2,2024,5
42,2024-02-02,"Латте","Кофе",3,250,750,6,"пт","weekday",2,2024,5
42,2024-02-02,"Война и мир","Книги",3,450,1350,6,"пт","weekday",2,2024,5
43,2024-03-14,"Круассан","Выпечка",2,120,240,5,"чт","weekday",3,2024,11
43,2024-03-14,"Латте","Кофе",2,250,500,5,"чт","weekday",3,2024,11
43,2024-03-14,"Война и мир","Книги",3,450,1350,5,"чт","weekday",3,2024,11
44,2024-02-23,"Маффин","Выпечка",1,150,150,6,"пт","weekday",2,2024,8
44,2024-02-23,"Круассан","Выпечка",2,120,240,6,"пт","weekday",2,2024,8
44,2024-02-23,"Круассан","Выпечка",3,120,360,6,"пт","weekday",2,2024,8
45,2024-03-24,"Раф","Кофе",3,280,840,1,"вс","weekend",3,2024,12
45,2024-03-24,"Американо","Кофе",3,180,540,1,"вс","weekend",3,2024,12
45,2024-03-24,"Печенье","Выпечка",3,80,240,1,"вс","weekend",3,2024,12
45,2024-03-24,"Латте","Кофе",1,250,250,1,"вс","weekend",3,2024,12
46,2024-03-22,"Американо","Кофе",3,180,540,6,"пт","weekday",3,2024,12
46,2024-03-22,"Раф","Кофе",1,280,280,6,"пт","weekday",3,2024,12
47,2024-03-25,"Мастер и Маргарита","Книги",3,600,1800,2,"пн","weekday",3,2024,13
47,2024-03-25,"Война и мир","Книги",1,450,450,2,"пн","weekday",3,2024,13
47,2024-03-25,"Маффин","Выпечка",1,150,150,2,"пн","weekday",3,2024,13
48,2024-01-12,"Раф","Кофе",2,280,560,6,"пт","weekday",1,2024,2
48,2024-01-12,"Сырник","Выпечка",3,200,600,6,"пт","weekday",1,2024,2
49,2024-03-25,"Сырник","Выпечка",2,200,400,2,"пн","weekday",3,2024,13
49,2024-03-25,"Круассан","Выпечка",1,120,120,2,"пн","weekday",3,2024,13
49,2024-03-25,"Латте","Кофе",2,250,500,2,"пн","weekday",3,2024,13
49,2024-03-25,"Эспрессо","Кофе",3,150,450,2,"пн","weekday",3,2024,13
49,2024-03-25,"Раф","Кофе",2,280,560,2,"пн","weekday",3,2024,13
50,2024-02-20,"Преступление и наказание","Книги",3,500,1500,3,"вт","weekday",2,2024,8
50,2024-02-20,"Круассан","Выпечка",3,120,360,3,"вт","weekday",2,2024,8
50,2024-02-20,"Печенье","Выпечка",3,80,240,3,"вт","weekday",2,2024,8
50,2024-02-20,"Американо","Кофе",3,180,540,3,"вт","weekday",2,2024,8
51,2024-02-23,"Печенье","Выпечка",3,80,240,6,"пт","weekday",2,2024,8
51,2024-02-23,"Круассан","Выпечка",2,120,240,6,"пт","weekday",2,2024,8
51,2024-02-23,"Раф","Кофе",2,280,560,6,"пт","weekday",2,2024,8
51,2024-02-23,"Печенье","Выпечка",2,80,160,6,"пт","weekday",2,2024,8
52,2024-02-23,"Круассан","Выпечка",1,120,120,6,"пт","weekday",2,2024,8
52,2024-02-23,"Печенье","Выпечка",2,80,160,6,"пт","weekday",2,2024,8
52,2024-02-23,"Круассан","Выпечка",1,120,120,6,"пт","weekday",2,2024,8
52,2024-02-23,"Круассан","Выпечка",1,120,120,6,"пт","weekday",2,2024,8
53,2024-02-19,"Латте","Кофе",1,250,250,2,"пн","weekday",2,2024,8
53,2024-02-19,"Маффин","Выпечка",1,150,150,2,"пн","weekday",2,2024,8
54,2024-01-30,"Круассан","Выпечка",1,120,120,3,"вт","weekday",1,2024,5
54,2024-01-30,"Американо","Кофе",2,180,360,3,"вт","weekday",1,2024,5
54,2024-01-30,"Маффин","Выпечка",2,150,300,3,"вт","weekday",1,2024,5
54,2024-01-30,"Мастер и Маргарита","Книги",1,600,600,3,"вт","weekday",1,2024,5
55,2024-03-05,"Капучино","Кофе",3,220,660,3,"вт","weekday",3,2024,10
55,2024-03-05,"Мастер и Маргарита","Книги",3,600,1800,3,"вт","weekday",3,2024,10
55,2024-03-05,"Маффин","Выпечка",1,150,150,3,"вт","weekday",3,2024,10
55,2024-03-05,"Мастер и Маргарита","Книги",1,600,600,3,"вт","weekday",3,2024,10
56,2024-01-19,"Мастер и Маргарита","Книги",2,600,1200,6,"пт","weekday",1,2024,3
56,2024-01-19,"Сырник","Выпечка",1,200,200,6,"пт","weekday",1,2024,3
56,2024-01-19,"Сырник","Выпечка",3,200,600,6,"пт","weekday",1,2024,3
57,2024-03-22,"Печенье","Выпечка",2,80,160,6,"пт","weekday",3,2024,12
57,2024-03-22,"Сырник","Выпечка",1,200,200,6,"пт","weekday",3,2024,12
57,2024-03-22,"Эспрессо","Кофе",3,150,450,6,"пт","weekday",3,2024,12
58,2024-02-10,"Капучино","Кофе",3,220,660,7,"сб","weekend",2,2024,6
59,2024-01-31,"Мастер и Маргарита","Книги",2,600,1200,4,"ср","weekday",1,2024,5
59,2024-01-31,"Круассан","Выпечка",3,120,360,4,"ср","weekday",1,2024,5
59,2024-01-31,"Капучино","Кофе",3,220,660,4,"ср","weekday",1,2024,5
60,2024-02-27,"Преступление и наказание","Книги",2,500,1000,3,"вт","weekday",2,2024,9
60,2024-02-27,"Мастер и Маргарита","Книги",1,600,600,3,"вт","weekday",2,2024,9
60,2024-02-27,"Преступление и наказание","Книги",3,500,1500,3,"вт","weekday",2,2024,9
60,2024-02-27,"Печенье","Выпечка",3,80,240,3,"вт","weekday",2,2024,9
61,2024-01-25,"Война и мир","Книги",1,450,450,5,"чт","weekday",1,2024,4
62,2024-02-27,"Капучино","Кофе",3,220,660,3,"вт","weekday",2,2024,9
62,2024-02-27,"Раф","Кофе",1,280,280,3,"вт","weekday",2,2024,9
63,2024-03-23,"Война и мир","Книги",3,450,1350,7,"сб","weekend",3,2024,12
63,2024-03-23,"Круассан","Выпечка",3,120,360,7,"сб","weekend",3,2024,12
63,2024-03-23,"Капучино","Кофе",3,220,660,7,"сб","weekend",3,2024,12
64,2024-01-29,"Эспрессо","Кофе",2,150,300,2,"пн","weekday",1,2024,5
65,2024-01-07,"Печенье","Выпечка",3,80,240,1,"вс","weekend",1,2024,1
65,2024-01-07,"Эспрессо","Кофе",1,150,150,1,"вс","weekend",1,2024,1
65,2024-01-07,"Латте","Кофе",1,250,250,1,"вс","weekend",1,2024,1
65,2024-01-07,"Круассан","Выпечка",3,120,360,1,"вс","weekend",1,2024,1
66,2024-03-08,"Сырник","Выпечка",3,200,600,6,"пт","weekday",3,2024,10
66,2024-03-08,"Американо","Кофе",3,180,540,6,"пт","weekday",3,2024,10
66,2024-03-08,"Сырник","Выпечка",3,200,600,6,"пт","weekday",3,2024,10
66,2024-03-08,"Латте","Кофе",2,250,500,6,"пт","weekday",3,2024,10
67,2024-01-19,"Мастер и Маргарита","Книги",3,600,1800,6,"пт","weekday",1,2024,3
67,2024-01-19,"Круассан","Выпечка",1,120,120,6,"пт","weekday",1,2024,3
67,2024-01-19,"Эспрессо","Кофе",3,150,450,6,"пт","weekday",1,2024,3
68,2024-03-14,"Капучино","Кофе",1,220,220,5,"чт","weekday",3,2024,11
68,2024-03-14,"Печенье","Выпечка",2,80,160,5,"чт","weekday",3,2024,11
68,2024-03-14,"Американо","Кофе",1,180,180,5,"чт","weekday",3,2024,11
68,2024-03-14,"Латте","Кофе",3,250,750,5,"чт","weekday",3,2024,11
68,2024-03-14,"Раф","Кофе",1,280,280,5,"чт","weekday",3,2024,11
69,2024-02-25,"Преступление и наказание","Книги",1,500,500,1,"вс","weekend",2,2024,8
69,2024-02-25,"Круассан","Выпечка",2,120,240,1,"вс","weekend",2,2024,8
69,2024-02-25,"Эспрессо","Кофе",3,150,450,1,"вс","weekend",2,2024,8
69,2024-02-25,"Печенье","Выпечка",2,80,160,1,"вс","weekend",2,2024,8
69,2024-02-25,"Круассан","Выпечка",3,120,360,1,"вс","weekend",2,2024,8
70,2024-01-06,"Капучино","Кофе",2,220,440,7,"сб","weekend",1,2024,1
71,2024-02-13,"Маффин","Выпечка",1,150,150,3,"вт","weekday",2,2024,7
72,2024-01-25,"Сырник","Выпечка",3,200,600,5,"чт","weekday",1,2024,4
72,2024-01-25,"Маффин","Выпечка",2,150,300,5,"чт","weekday",1,2024,4
73,2024-01-02,"Круассан","Выпечка",1,120,120,3,"вт","weekday",1,2024,1
73,2024-01-02,"Война и мир","Книги",1,450,450,3,"вт","weekday",1,2024,1
73,2024-01-02,"Преступление и наказание","Книги",3,500,1500,3,"вт","weekday",1,2024,1
74,2024-03-13,"Преступление и наказание","Книги",1,500,500,4,"ср","weekday",3,2024,11
74,2024-03-13,"Мастер и Маргарита","Книги",1,600,600,4,"ср","weekday",3,2024,11
75,2024-02-12,"Сырник","Выпечка",1,200,200,2,"пн","weekday",2,2024,7
75,2024-02-12,"Круассан","Выпечка",2,120,240,2,"пн","weekday",2,2024,7
75,2024-02-12,"Преступление и наказание","Книги",3,500,1500,2,"пн","weekday",2,2024,7
76,2024-02-26,"Сырник","Выпечка",1,200,200,2,"пн","weekday",2,2024,9
76,2024-02-26,"Печенье","Выпечка",1,80,80,2,"пн","weekday",2,2024,9
76,2024-02-26,"Раф","Кофе",2,280,560,2,"пн","weekday",2,2024,9
77,2024-01-01,"Американо","Кофе",1,180,180,2,"пн","weekday",1,2024,1
78,2024-01-27,"Маффин","Выпечка",2,150,300,7,"сб","weekend",1,2024,4
79,2024-01-18,"Круассан","Выпечка",1,120,120,5,"чт","weekday",1,2024,3
80,2024-01-02,"Война и мир","Книги",2,450,900,3,"вт","weekday",1,2024,1
81,2024-03-16,"Круассан","Выпечка",2,120,240,7,"сб","weekend",3,2024,11
82,2024-03-20,"Сырник","Выпечка",2,200,400,4,"ср","weekday",3,2024,12
82,2024-03-20,"Американо","Кофе",2,180,360,4,"ср","weekday",3,2024,12
82,2024-03-20,"Маффин","Выпечка",3,150,450,4,"ср","weekday",3,2024,12
82,2024-03-20,"Маффин","Выпечка",3,150,450,4,"ср","weekday",3,2024,12
83,2024-01-18,"Круассан","Выпечка",1,120,120,5,"чт","weekday",1,2024,3
84,2024-02-20,"Круассан","Выпечка",3,120,360,3,"вт","weekday",2,2024,8
84,2024-02-20,"Маффин","Выпечка",3,150,450,3,"вт","weekday",2,2024,8
84,2024-02-20,"Капучино","Кофе",1,220,220,3,"вт","weekday",2,2024,8
85,2024-01-22,"Маффин","Выпечка",1,150,150,2,"пн","weekday",1,2024,4
85,2024-01-22,"Круассан","Выпечка",2,120,240,2,"пн","weekday",1,2024,4
85,2024-01-22,"Печенье","Выпечка",2,80,160,2,"пн","weekday",1,2024,4
85,2024-01-22,"Круассан","Выпечка",1,120,120,2,"пн","weekday",1,2024,4
85,2024-01-22,"Война и мир","Книги",1,450,450,2,"пн","weekday",1,2024,4
86,2024-03-23,"Круассан","Выпечка",2,120,240,7,"сб","weekend",3,2024,12
87,2024-01-19,"Латте","Кофе",1,250,250,6,"пт","weekday",1,2024,3
88,2024-02-01,"Преступление и наказание","Книги",2,500,1000,5,"чт","weekday",2,2024,5
88,2024-02-01,"Капучино","Кофе",1,220,220,5,"чт","weekday",2,2024,5
89,2024-03-17,"Раф","Кофе",3,280,840,1,"вс","weekend",3,2024,11
89,2024-03-17,"Сырник","Выпечка",1,200,200,1,"вс","weekend",3,2024,11
90,2024-01-27,"Капучино","Кофе",3,220,660,7,"сб","weekend",1,2024,4
90,2024-01-27,"Американо","Кофе",3,180,540,7,"сб","weekend",1,2024,4
91,2024-01-19,"Сырник","Выпечка",2,200,400,6,"пт","weekday",1,2024,3
91,2024-01-19,"Мастер и Маргарита","Книги",2,600,1200,6,"пт","weekday",1,2024,3
91,2024-01-19,"Круассан","Выпечка",2,120,240,6,"пт","weekday",1,2024,3
91,2024-01-19,"Маффин","Выпечка",3,150,450,6,"пт","weekday",1,2024,3
92,2024-01-18,"Капучино","Кофе",1,220,220,5,"чт","weekday",1,2024,3
92,2024-01-18,"Сырник","Выпечка",1,200,200,5,"чт","weekday",1,2024,3
93,2024-01-22,"Маффин","Выпечка",1,150,150,2,"пн","weekday",1,2024,4
93,2024-01-22,"Война и мир","Книги",2,450,900,2,"пн","weekday",1,2024,4
93,2024-01-22,"Маффин","Выпечка",2,150,300,2,"пн","weekday",1,2024,4
93,2024-01-22,"Капучино","Кофе",2,220,440,2,"пн","weekday",1,2024,4
93,2024-01-22,"Преступление и наказание","Книги",3,500,1500,2,"пн","weekday",1,2024,4
94,2024-02-02,"Печенье","Выпечка",2,80,160,6,"пт","weekday",2,2024,5
94,2024-02-02,"Печенье","Выпечка",1,80,80,6,"пт","weekday",2,2024,5
94,2024-02-02,"Преступление и наказание","Книги",3,500,1500,6,"пт","weekday",2,2024,5
95,2024-02-24,"Маффин","Выпечка",2,150,300,7,"сб","weekend",2,2024,8
95,2024-02-24,"Война и мир","Книги",2,450,900,7,"сб","weekend",2,2024,8
96,2024-02-14,"Преступление и наказание","Книги",3,500,1500,4,"ср","weekday",2,2024,7
97,2024-03-30,"Маффин","Выпечка",2,150,300,7,"сб","weekend",3,2024,13
98,2024-02-24,"Латте","Кофе",1,250,250,7,"сб","weekend",2,2024,8
98,2024-02-24,"Капучино","Кофе",2,220,440,7,"сб","weekend",2,2024,8
99,2024-01-29,"Круассан","Выпечка",3,120,360,2,"пн","weekday",1,2024,5
99,2024-01-29,"Печенье","Выпечка",2,80,160,2,"пн","weekday",1,2024,5
99,2024-01-29,"Война и мир","Книги",1,450,450,2,"пн","weekday",1,2024,5
100,2024-01-05,"Сырник","Выпечка",3,200,600,6,"пт","weekday",1,2024,1
100,2024-01-05,"Капучино","Кофе",2,220,440,6,"пт","weekday",1,2024,1
101,2024-03-12,"Мастер и Маргарита","Книги",2,600,1200,3,"вт","weekday",3,2024,11
101,2024-03-12,"Американо","Кофе",1,180,180,3,"вт","weekday",3,2024,11
101,2024-03-12,"Круассан","Выпечка",2,120,240,3,"вт","weekday",3,2024,11
101,2024-03-12,"Мастер и Маргарита","Книги",2,600,1200,3,"вт","weekday",3,2024,11
101,2024-03-12,"Раф","Кофе",3,280,840,3,"вт","weekday",3,2024,11
102,2024-02-23,"Маффин","Выпечка",3,150,450,6,"пт","weekday",2,2024,8
103,2024-01-20,"Капучино","Кофе",1,220,220,7,"сб","weekend",1,2024,3
103,2024-01-20,"Круассан","Выпечка",1,120,120,7,"сб","weekend",1,2024,3
104,2024-02-24,"Круассан","Выпечка",1,120,120,7,"сб","weekend",2,2024,8
104,2024-02-24,"Латте","Кофе",3,250,750,7,"сб","weekend",2,2024,8
105,2024-02-06,"Американо","Кофе",3,180,540,3,"вт","weekday",2,2024,6
106,2024-03-12,"Печенье","Выпечка",3,80,240,3,"вт","weekday",3,2024,11
106,2024-03-12,"Круассан","Выпечка",2,120,240,3,"вт","weekday",3,2024,11
106,2024-03-12,"Капучино","Кофе",1,220,220,3,"вт","weekday",3,2024,11
107,2024-02-05,"Сырник","Выпечка",3,200,600,2,"пн","weekday",2,2024,6
107,2024-02-05,"Капучино","Кофе",1,220,220,2,"пн","weekday",2,2024,6
107,2024-02-05,"Война и мир","Книги",2,450,900,2,"пн","weekday",2,2024,6
108,2024-01-24,"Сырник","Выпечка",3,200,600,4,"ср","weekday",1,2024,4
109,2024-03-09,"Американо","Кофе",2,180,360,7,"сб","weekend",3,2024,10
109,2024-03-09,"Латте","Кофе",3,250,750,7,"сб","weekend",3,2024,10
109,2024-03-09,"Маффин","Выпечка",3,150,450,7,"сб","weekend",3,2024,10
110,2024-01-14,"Сырник","Выпечка",2,200,400,1,"вс","weekend",1,2024,2
110,2024-01-14,"Преступление и наказание","Книги",3,500,1500,1,"вс","weekend",1,2024,2
111,2024-03-13,"Круассан","Выпечка",3,120,360,4,"ср","weekday",3,2024,11
111,2024-03-13,"Капучино","Кофе",1,220,220,4,"ср","weekday",3,2024,11
112,2024-01-09,"Круассан","Выпечка",3,120,360,3,"вт","weekday",1,2024,2
112,2024-01-09,"Печенье","Выпечка",2,80,160,3,"вт","weekday",1,2024,2
113,2024-03-05,"Печенье","Выпечка",3,80,240,3,"вт","weekday",3,2024,10
113,2024-03-05,"Печенье","Выпечка",3,80,240,3,"вт","weekday",3,2024,10
114,2024-03-03,"Латте","Кофе",2,250,500,1,"вс","weekend",3,2024,9
115,2024-03-10,"Круассан","Выпечка",1,120,120,1,"вс","weekend",3,2024,10
115,2024-03-10,"Американо","Кофе",2,180,360,1,"вс","weekend",3,2024,10
115,2024-03-10,"Маффин","Выпечка",2,150,300,1,"вс","weekend",3,2024,10
115,2024-03-10,"Капучино","Кофе",1,220,220,1,"вс","weekend",3,2024,10
115,2024-03-10,"Латте","Кофе",1,250,250,1,"вс","weekend",3,2024,10
116,2024-03-13,"Круассан","Выпечка",3,120,360,4,"ср","weekday",3,2024,11
116,2024-03-13,"Круассан","Выпечка",1,120,120,4,"ср","weekday",3,2024,11
116,2024-03-13,"Мастер и Маргарита","Книги",3,600,1800,4,"ср","weekday",3,2024,11
117,2024-01-20,"Печенье","Выпечка",1,80,80,7,"сб","weekend",1,2024,3
117,2024-01-20,"Печенье","Выпечка",2,80,160,7,"сб","weekend",1,2024,3
117,2024-01-20,"Сырник","Выпечка",1,200,200,7,"сб","weekend",1,2024,3
118,2024-03-02,"Латте","Кофе",1,250,250,7,"сб","weekend",3,2024,9
119,2024-01-14,"Латте","Кофе",2,250,500,1,"вс","weekend",1,2024,2
120,2024-01-31,"Эспрессо","Кофе",1,150,150,4,"ср","weekday",1,2024,5
120,2024-01-31,"Печенье","Выпечка",1,80,80,4,"ср","weekday",1,2024,5
120,2024-01-31,"Маффин","Выпечка",3,150,450,4,"ср","weekday",1,2024,5
121,2024-02-10,"Латте","Кофе",1,250,250,7,"сб","weekend",2,2024,6
122,2024-01-23,"Круассан","Выпечка",1,120,120,3,"вт","weekday",1,2024,4
122,2024-01-23,"Маффин","Выпечка",2,150,300,3,"вт","weekday",1,2024,4
122,2024-01-23,"Печенье","Выпечка",3,80,240,3,"вт","weekday",1,2024,4
123,2024-01-17,"Печенье","Выпечка",1,80,80,4,"ср","weekday",1,2024,3
124,2024-01-05,"Маффин","Выпечка",1,150,150,6,"пт","weekday",1,2024,1
125,2024-03-12,"Маффин","Выпечка",2,150,300,3,"вт","weekday",3,2024,11
